,code,desc,rule
14,M80.08XP,"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion",adult
15,M80.08XS,"Age-related osteoporosis with current pathological fracture, vertebra(e), sequela",adult
16,M81.0,Age-related osteoporosis without current pathological fracture,adult
17,M83.1,Senile osteomalacia,adult
18,M83.2,Adult osteomalacia due to malabsorption,adult
19,M83.3,Adult osteomalacia due to malnutrition,adult
20,M83.5,Other drug-induced osteomalacia in adults,adult
21,M83.8,Other adult osteomalacia,adult
22,M83.9,"Adult osteomalacia, unspecified",adult
23,M93.1,Kienböck's disease of adults,adult
24,N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms,adult
25,N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms,adult
26,N40.2,Nodular prostate without lower urinary tract symptoms,adult
27,N40.3,Nodular prostate with lower urinary tract symptoms,adult
28,N41.0,Acute prostatitis,adult
29,N41.1,Chronic prostatitis,adult
30,N41.2,Abscess of prostate,adult
31,N41.3,Prostatocystitis,adult
32,N41.4,Granulomatous prostatitis,adult
33,N41.8,Other inflammatory diseases of prostate,adult
34,N41.9,"Inflammatory disease of prostate, unspecified",adult
35,N42.0,Calculus of prostate,adult
36,N42.1,Congestion and hemorrhage of prostate,adult
37,N42.81,Prostatodynia syndrome,adult
38,N42.82,Prostatosis syndrome,adult
39,N42.83,Cyst of prostate,adult
40,N42.89,Other specified disorders of prostate,adult
41,N42.9,"Disorder of prostate, unspecified",adult
42,N46.01,Organic azoospermia,adult
43,N46.021,Azoospermia due to drug therapy,adult
44,N46.022,Azoospermia due to infection,adult
45,N46.023,Azoospermia due to obstruction of efferent ducts,adult
46,N46.024,Azoospermia due to radiation,adult
47,N46.025,Azoospermia due to systemic disease,adult
48,N46.029,Azoospermia due to other extratesticular causes,adult
49,N46.11,Organic oligospermia,adult
50,N46.121,Oligospermia due to drug therapy,adult
51,N46.122,Oligospermia due to infection,adult
52,N46.123,Oligospermia due to obstruction of efferent ducts,adult
53,N46.124,Oligospermia due to radiation,adult
54,N46.125,Oligospermia due to systemic disease,adult
55,N46.129,Oligospermia due to other extratesticular causes,adult
56,N46.8,Other male infertility,adult
57,N46.9,"Male infertility, unspecified",adult
58,N52.01,Erectile dysfunction due to arterial insufficiency,adult
59,N52.02,Corporo-venous occlusive erectile dysfunction,adult
60,N52.03,Combined arterial insufficiency and corporo-venous occlusive erectile dysfunction,adult
61,N52.1,Erectile dysfunction due to diseases classified elsewhere,adult
62,N52.2,Drug-induced erectile dysfunction,adult
63,N52.31,Erectile dysfunction following radical prostatectomy,adult
64,N52.32,Erectile dysfunction following radical cystectomy,adult
65,N52.33,Erectile dysfunction following urethral surgery,adult
66,N52.34,Erectile dysfunction following simple prostatectomy,adult
67,N52.35,Erectile dysfunction following radiation therapy,adult
68,N52.36,Erectile dysfunction following interstitial seed therapy,adult
69,N52.37,Erectile dysfunction following prostate ablative therapy,adult
70,N52.39,Other and unspecified postprocedural erectile dysfunction,adult
71,N52.8,Other male erectile dysfunction,adult
72,N52.9,"Male erectile dysfunction, unspecified",adult
73,N60.11,Diffuse cystic mastopathy of right breast,adult
74,N60.12,Diffuse cystic mastopathy of left breast,adult
75,N60.19,Diffuse cystic mastopathy of unspecified breast,adult
76,N64.81,Ptosis of breast,adult
77,N64.82,Hypoplasia of breast,adult
78,N65.0,Deformity of reconstructed breast,adult
79,N65.1,Disproportion of reconstructed breast,adult
80,R41.81,Age-related cognitive decline,adult
81,R54,Age-related physical debility,adult
82,R62.7,Adult failure to thrive,adult
83,R68.82,Decreased libido,adult
84,R97.20,Elevated prostate specific antigen [PSA],adult
85,R97.21,Rising PSA following treatment for malignant neoplasm of prostate,adult
86,T74.01XA,"Adult neglect or abandonment, confirmed, initial encounter",adult
87,T74.01XD,"Adult neglect or abandonment, confirmed, subsequent encounter",adult
88,T74.01XS,"Adult neglect or abandonment, confirmed, sequela",adult
89,T74.11XA,"Adult physical abuse, confirmed, initial encounter",adult
90,T74.11XD,"Adult physical abuse, confirmed, subsequent encounter",adult
91,T74.11XS,"Adult physical abuse, confirmed, sequela",adult
92,T74.21XA,"Adult sexual abuse, confirmed, initial encounter",adult
93,T74.21XD,"Adult sexual abuse, confirmed, subsequent encounter",adult
94,T74.21XS,"Adult sexual abuse, confirmed, sequela",adult
95,T74.31XA,"Adult psychological abuse, confirmed, initial encounter",adult
96,T74.31XD,"Adult psychological abuse, confirmed, subsequent encounter",adult
97,T74.31XS,"Adult psychological abuse, confirmed, sequela",adult
98,T74.51XA,"Adult forced sexual exploitation, confirmed, initial encounter",adult
99,T74.51XD,"Adult forced sexual exploitation, confirmed, subsequent encounter",adult
0,T74.51XS,"Adult forced sexual exploitation, confirmed, sequela",adult
1,T74.61XA,"Adult forced labor exploitation, confirmed, initial encounter",adult
2,T74.61XD,"Adult forced labor exploitation, confirmed, subsequent encounter",adult
3,T74.61XS,"Adult forced labor exploitation, confirmed, sequela",adult
4,T74.91XA,"Unspecified adult maltreatment, confirmed, initial encounter",adult
5,T74.91XD,"Unspecified adult maltreatment, confirmed, subsequent encounter",adult
6,T74.91XS,"Unspecified adult maltreatment, confirmed, sequela",adult
7,T76.01XA,"Adult neglect or abandonment, suspected, initial encounter",adult
8,T76.01XD,"Adult neglect or abandonment, suspected, subsequent encounter",adult
9,T76.01XS,"Adult neglect or abandonment, suspected, sequela",adult
10,T76.11XA,"Adult physical abuse, suspected, initial encounter",adult
11,T76.11XD,"Adult physical abuse, suspected, subsequent encounter",adult
12,T76.11XS,"Adult physical abuse, suspected, sequela",adult
13,T76.21XA,"Adult sexual abuse, suspected, initial encounter",adult
14,T76.21XD,"Adult sexual abuse, suspected, subsequent encounter",adult
15,T76.21XS,"Adult sexual abuse, suspected, sequela",adult
16,T76.31XA,"Adult psychological abuse, suspected, initial encounter",adult
17,T76.31XD,"Adult psychological abuse, suspected, subsequent encounter",adult
18,T76.31XS,"Adult psychological abuse, suspected, sequela",adult
19,T76.51XA,"Adult forced sexual exploitation, suspected, initial encounter",adult
20,T76.51XD,"Adult forced sexual exploitation, suspected, subsequent encounter",adult
21,T76.51XS,"Adult forced sexual exploitation, suspected, sequela",adult
22,T76.61XA,"Adult forced labor exploitation, suspected, initial encounter",adult
23,T76.61XD,"Adult forced labor exploitation, suspected, subsequent encounter",adult
24,T76.61XS,"Adult forced labor exploitation, suspected, sequela",adult
25,T76.91XA,"Unspecified adult maltreatment, suspected, initial encounter",adult
26,T76.91XD,"Unspecified adult maltreatment, suspected, subsequent encounter",adult
27,T76.91XS,"Unspecified adult maltreatment, suspected, sequela",adult
28,Z00.00,Encounter for general adult medical examination without abnormal findings,adult
29,Z00.01,Encounter for general adult medical examination with abnormal findings,adult
30,Z04.41,Encounter for examination and observation following alleged adult rape,adult
31,Z04.71,Encounter for examination and observation following alleged adult physical abuse,adult
32,Z31.441,Encounter for testing of male partner of patient with recurrent pregnancy loss,adult
33,Z31.448,Encounter for other genetic testing of male for procreative management,adult
34,Z42.1,Encounter for breast reconstruction following mastectomy,adult
35,Z56.1,Change of job,adult
36,Z68.1,"Body mass index (BMI) 19.9 or less, adult",adult
37,Z68.20,"Body mass index (BMI) 20.0-20.9, adult",adult
38,Z68.21,"Body mass index (BMI) 21.0-21.9, adult",adult
39,Z68.22,"Body mass index (BMI) 22.0-22.9, adult",adult
40,Z68.23,"Body mass index (BMI) 23.0-23.9, adult",adult
41,Z68.24,"Body mass index (BMI) 24.0-24.9, adult",adult
42,Z68.25,"Body mass index (BMI) 25.0-25.9, adult",adult
43,Z68.26,"Body mass index (BMI) 26.0-26.9, adult",adult
44,Z68.27,"Body mass index (BMI) 27.0-27.9, adult",adult
45,Z68.28,"Body mass index (BMI) 28.0-28.9, adult",adult
46,Z68.29,"Body mass index (BMI) 29.0-29.9, adult",adult
47,Z68.30,"Body mass index (BMI) 30.0-30.9, adult",adult
48,Z68.31,"Body mass index (BMI) 31.0-31.9, adult",adult
49,Z68.32,"Body mass index (BMI) 32.0-32.9, adult",adult
50,Z68.33,"Body mass index (BMI) 33.0-33.9, adult",adult
51,Z68.34,"Body mass index (BMI) 34.0-34.9, adult",adult
52,Z68.35,"Body mass index (BMI) 35.0-35.9, adult",adult
53,Z68.36,"Body mass index (BMI) 36.0-36.9, adult",adult
54,Z68.37,"Body mass index (BMI) 37.0-37.9, adult",adult
55,Z68.38,"Body mass index (BMI) 38.0-38.9, adult",adult
56,Z68.39,"Body mass index (BMI) 39.0-39.9, adult",adult
57,Z68.41,"Body mass index (BMI) 40.0-44.9, adult",adult
58,Z68.42,"Body mass index (BMI) 45.0-49.9, adult",adult
59,Z68.43,"Body mass index (BMI) 50.0-59.9, adult",adult
60,Z68.44,"Body mass index (BMI) 60.0-69.9, adult",adult
61,Z68.45,"Body mass index (BMI) 70 or greater, adult",adult
62,Z72.811,Adult antisocial behavior,adult
63,Z78.0,Asymptomatic menopausal state,adult
64,Z86.51,Personal history of combat and operational stress reaction,adult
65,Z91.410,Personal history of adult physical and sexual abuse,adult
66,Z91.411,Personal history of adult psychological abuse,adult
67,Z91.412,Personal history of adult neglect,adult
68,Z91.419,Personal history of unspecified adult abuse,adult
69,Z91.82,Personal history of military deployment,adult
70,Z98.52,Vasectomy status,adult
0,A34,Obstetrical tetanus,maternity
1,C58,Malignant neoplasm of placenta,maternity
2,D39.2,Neoplasm of uncertain behavior of placenta,maternity
3,F53.0,Postpartum depression,maternity
4,F53.1,Puerperal psychosis,maternity
5,M83.0,Puerperal osteomalacia,maternity
6,O00.00,Abdominal pregnancy without intrauterine pregnancy,maternity
7,O00.01,Abdominal pregnancy with intrauterine pregnancy,maternity
8,O00.101,Right tubal pregnancy without intrauterine pregnancy,maternity
9,O00.102,Left tubal pregnancy without intrauterine pregnancy,maternity
10,O00.109,Unspecified tubal pregnancy without intrauterine pregnancy,maternity
11,O00.111,Right tubal pregnancy with intrauterine pregnancy,maternity
12,O00.112,Left tubal pregnancy with intrauterine pregnancy,maternity
13,O00.119,Unspecified tubal pregnancy with intrauterine pregnancy,maternity
14,O00.201,Right ovarian pregnancy without intrauterine pregnancy,maternity
15,O00.202,Left ovarian pregnancy without intrauterine pregnancy,maternity
16,O00.209,Unspecified ovarian pregnancy without intrauterine pregnancy,maternity
17,O00.211,Right ovarian pregnancy with intrauterine pregnancy,maternity
18,O00.212,Left ovarian pregnancy with intrauterine pregnancy,maternity
19,O00.219,Unspecified ovarian pregnancy with intrauterine pregnancy,maternity
20,O00.80,Other ectopic pregnancy without intrauterine pregnancy,maternity
21,O00.81,Other ectopic pregnancy with intrauterine pregnancy,maternity
22,O00.90,Unspecified ectopic pregnancy without intrauterine pregnancy,maternity
23,O00.91,Unspecified ectopic pregnancy with intrauterine pregnancy,maternity
24,O01.0,Classical hydatidiform mole,maternity
25,O01.1,Incomplete and partial hydatidiform mole,maternity
26,O01.9,"Hydatidiform mole, unspecified",maternity
27,O02.0,Blighted ovum and nonhydatidiform mole,maternity
28,O02.1,Missed abortion,maternity
29,O02.81,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,maternity
30,O02.89,Other abnormal products of conception,maternity
31,O02.9,"Abnormal product of conception, unspecified",maternity
32,O03.0,Genital tract and pelvic infection following incomplete spontaneous abortion,maternity
33,O03.1,Delayed or excessive hemorrhage following incomplete spontaneous abortion,maternity
34,O03.2,Embolism following incomplete spontaneous abortion,maternity
35,O03.30,Unspecified complication following incomplete spontaneous abortion,maternity
36,O03.31,Shock following incomplete spontaneous abortion,maternity
37,O03.32,Renal failure following incomplete spontaneous abortion,maternity
38,O03.33,Metabolic disorder following incomplete spontaneous abortion,maternity
39,O03.34,Damage to pelvic organs following incomplete spontaneous abortion,maternity
40,O03.35,Other venous complications following incomplete spontaneous abortion,maternity
41,O03.36,Cardiac arrest following incomplete spontaneous abortion,maternity
42,O03.37,Sepsis following incomplete spontaneous abortion,maternity
43,O03.38,Urinary tract infection following incomplete spontaneous abortion,maternity
44,O03.39,Incomplete spontaneous abortion with other complications,maternity
45,O03.4,Incomplete spontaneous abortion without complication,maternity
46,O03.5,Genital tract and pelvic infection following complete or unspecified spontaneous abortion,maternity
47,O03.6,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,maternity
48,O03.7,Embolism following complete or unspecified spontaneous abortion,maternity
49,O03.80,Unspecified complication following complete or unspecified spontaneous abortion,maternity
50,O03.81,Shock following complete or unspecified spontaneous abortion,maternity
51,O03.82,Renal failure following complete or unspecified spontaneous abortion,maternity
52,O03.83,Metabolic disorder following complete or unspecified spontaneous abortion,maternity
53,O03.84,Damage to pelvic organs following complete or unspecified spontaneous abortion,maternity
54,O03.85,Other venous complications following complete or unspecified spontaneous abortion,maternity
55,O03.86,Cardiac arrest following complete or unspecified spontaneous abortion,maternity
56,O03.87,Sepsis following complete or unspecified spontaneous abortion,maternity
57,O03.88,Urinary tract infection following complete or unspecified spontaneous abortion,maternity
58,O03.89,Complete or unspecified spontaneous abortion with other complications,maternity
59,O03.9,Complete or unspecified spontaneous abortion without complication,maternity
60,O04.5,Genital tract and pelvic infection following (induced) termination of pregnancy,maternity
61,O04.6,Delayed or excessive hemorrhage following (induced) termination of pregnancy,maternity
62,O04.7,Embolism following (induced) termination of pregnancy,maternity
63,O04.80,(Induced) termination of pregnancy with unspecified complications,maternity
64,O04.81,Shock following (induced) termination of pregnancy,maternity
65,O04.82,Renal failure following (induced) termination of pregnancy,maternity
66,O04.83,Metabolic disorder following (induced) termination of pregnancy,maternity
67,O04.84,Damage to pelvic organs following (induced) termination of pregnancy,maternity
68,O04.85,Other venous complications following (induced) termination of pregnancy,maternity
69,O04.86,Cardiac arrest following (induced) termination of pregnancy,maternity
70,O04.87,Sepsis following (induced) termination of pregnancy,maternity
71,O04.88,Urinary tract infection following (induced) termination of pregnancy,maternity
72,O04.89,(Induced) termination of pregnancy with other complications,maternity
73,O07.0,Genital tract and pelvic infection following failed attempted termination of pregnancy,maternity
74,O07.1,Delayed or excessive hemorrhage following failed attempted termination of pregnancy,maternity
75,O07.2,Embolism following failed attempted termination of pregnancy,maternity
76,O07.30,Failed attempted termination of pregnancy with unspecified complications,maternity
77,O07.31,Shock following failed attempted termination of pregnancy,maternity
78,O07.32,Renal failure following failed attempted termination of pregnancy,maternity
79,O07.33,Metabolic disorder following failed attempted termination of pregnancy,maternity
80,O07.34,Damage to pelvic organs following failed attempted termination of pregnancy,maternity
81,O07.35,Other venous complications following failed attempted termination of pregnancy,maternity
82,O07.36,Cardiac arrest following failed attempted termination of pregnancy,maternity
83,O07.37,Sepsis following failed attempted termination of pregnancy,maternity
84,O07.38,Urinary tract infection following failed attempted termination of pregnancy,maternity
85,O07.39,Failed attempted termination of pregnancy with other complications,maternity
86,O07.4,Failed attempted termination of pregnancy without complication,maternity
87,O08.0,Genital tract and pelvic infection following ectopic and molar pregnancy,maternity
88,O08.1,Delayed or excessive hemorrhage following ectopic and molar pregnancy,maternity
89,O08.2,Embolism following ectopic and molar pregnancy,maternity
90,O08.3,Shock following ectopic and molar pregnancy,maternity
91,O08.4,Renal failure following ectopic and molar pregnancy,maternity
92,O08.5,Metabolic disorders following an ectopic and molar pregnancy,maternity
93,O08.6,Damage to pelvic organs and tissues following an ectopic and molar pregnancy,maternity
94,O08.7,Other venous complications following an ectopic and molar pregnancy,maternity
95,O08.81,Cardiac arrest following an ectopic and molar pregnancy,maternity
96,O08.82,Sepsis following ectopic and molar pregnancy,maternity
97,O08.83,Urinary tract infection following an ectopic and molar pregnancy,maternity
98,O08.89,Other complications following an ectopic and molar pregnancy,maternity
99,O08.9,Unspecified complication following an ectopic and molar pregnancy,maternity
0,O09.00,"Supervision of pregnancy with history of infertility, unspecified trimester",maternity
1,O09.01,"Supervision of pregnancy with history of infertility, first trimester",maternity
2,O09.02,"Supervision of pregnancy with history of infertility, second trimester",maternity
3,O09.03,"Supervision of pregnancy with history of infertility, third trimester",maternity
4,O09.10,"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester",maternity
5,O09.11,"Supervision of pregnancy with history of ectopic pregnancy, first trimester",maternity
6,O09.12,"Supervision of pregnancy with history of ectopic pregnancy, second trimester",maternity
7,O09.13,"Supervision of pregnancy with history of ectopic pregnancy, third trimester",maternity
8,O09.211,"Supervision of pregnancy with history of pre-term labor, first trimester",maternity
9,O09.212,"Supervision of pregnancy with history of pre-term labor, second trimester",maternity
10,O09.213,"Supervision of pregnancy with history of pre-term labor, third trimester",maternity
11,O09.219,"Supervision of pregnancy with history of pre-term labor, unspecified trimester",maternity
12,O09.291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester",maternity
13,O09.292,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester",maternity
14,O09.293,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester",maternity
15,O09.299,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester",maternity
16,O09.30,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester",maternity
17,O09.31,"Supervision of pregnancy with insufficient antenatal care, first trimester",maternity
18,O09.32,"Supervision of pregnancy with insufficient antenatal care, second trimester",maternity
19,O09.33,"Supervision of pregnancy with insufficient antenatal care, third trimester",maternity
20,O09.40,"Supervision of pregnancy with grand multiparity, unspecified trimester",maternity
21,O09.41,"Supervision of pregnancy with grand multiparity, first trimester",maternity
22,O09.42,"Supervision of pregnancy with grand multiparity, second trimester",maternity
23,O09.43,"Supervision of pregnancy with grand multiparity, third trimester",maternity
24,O09.511,"Supervision of elderly primigravida, first trimester",maternity
25,O09.512,"Supervision of elderly primigravida, second trimester",maternity
26,O09.513,"Supervision of elderly primigravida, third trimester",maternity
27,O09.519,"Supervision of elderly primigravida, unspecified trimester",maternity
28,O09.521,"Supervision of elderly multigravida, first trimester",maternity
29,O09.522,"Supervision of elderly multigravida, second trimester",maternity
30,O09.523,"Supervision of elderly multigravida, third trimester",maternity
31,O09.529,"Supervision of elderly multigravida, unspecified trimester",maternity
32,O09.611,"Supervision of young primigravida, first trimester",maternity
33,O09.612,"Supervision of young primigravida, second trimester",maternity
34,O09.613,"Supervision of young primigravida, third trimester",maternity
35,O09.619,"Supervision of young primigravida, unspecified trimester",maternity
36,O09.621,"Supervision of young multigravida, first trimester",maternity
37,O09.622,"Supervision of young multigravida, second trimester",maternity
38,O09.623,"Supervision of young multigravida, third trimester",maternity
39,O09.629,"Supervision of young multigravida, unspecified trimester",maternity
40,O09.70,"Supervision of high risk pregnancy due to social problems, unspecified trimester",maternity
41,O09.71,"Supervision of high risk pregnancy due to social problems, first trimester",maternity
42,O09.72,"Supervision of high risk pregnancy due to social problems, second trimester",maternity
43,O09.73,"Supervision of high risk pregnancy due to social problems, third trimester",maternity
44,O09.811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester",maternity
45,O09.812,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester",maternity
46,O09.813,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester",maternity
47,O09.819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester",maternity
48,O09.821,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester",maternity
49,O09.822,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester",maternity
50,O09.823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester",maternity
51,O09.829,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester",maternity
52,O09.891,"Supervision of other high risk pregnancies, first trimester",maternity
53,O09.892,"Supervision of other high risk pregnancies, second trimester",maternity
54,O09.893,"Supervision of other high risk pregnancies, third trimester",maternity
55,O09.899,"Supervision of other high risk pregnancies, unspecified trimester",maternity
56,O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester",maternity
57,O09.91,"Supervision of high risk pregnancy, unspecified, first trimester",maternity
58,O09.92,"Supervision of high risk pregnancy, unspecified, second trimester",maternity
59,O09.93,"Supervision of high risk pregnancy, unspecified, third trimester",maternity
60,O09.A0,"Supervision of pregnancy with history of molar pregnancy, unspecified trimester",maternity
61,O09.A1,"Supervision of pregnancy with history of molar pregnancy, first trimester",maternity
62,O09.A2,"Supervision of pregnancy with history of molar pregnancy, second trimester",maternity
63,O09.A3,"Supervision of pregnancy with history of molar pregnancy, third trimester",maternity
64,O10.011,"Pre-existing essential hypertension complicating pregnancy, first trimester",maternity
65,O10.012,"Pre-existing essential hypertension complicating pregnancy, second trimester",maternity
66,O10.013,"Pre-existing essential hypertension complicating pregnancy, third trimester",maternity
67,O10.019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester",maternity
68,O10.02,Pre-existing essential hypertension complicating childbirth,maternity
69,O10.03,Pre-existing essential hypertension complicating the puerperium,maternity
70,O10.111,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester",maternity
71,O10.112,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester",maternity
72,O10.113,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester",maternity
73,O10.119,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester",maternity
74,O10.12,Pre-existing hypertensive heart disease complicating childbirth,maternity
75,O10.13,Pre-existing hypertensive heart disease complicating the puerperium,maternity
76,O10.211,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester",maternity
77,O10.212,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester",maternity
78,O10.213,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester",maternity
79,O10.219,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester",maternity
80,O10.22,Pre-existing hypertensive chronic kidney disease complicating childbirth,maternity
81,O10.23,Pre-existing hypertensive chronic kidney disease complicating the puerperium,maternity
82,O10.311,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester",maternity
83,O10.312,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester",maternity
84,O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester",maternity
85,O10.319,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester",maternity
86,O10.32,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth,maternity
87,O10.33,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium,maternity
88,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester",maternity
89,O10.412,"Pre-existing secondary hypertension complicating pregnancy, second trimester",maternity
90,O10.413,"Pre-existing secondary hypertension complicating pregnancy, third trimester",maternity
91,O10.419,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester",maternity
92,O10.42,Pre-existing secondary hypertension complicating childbirth,maternity
93,O10.43,Pre-existing secondary hypertension complicating the puerperium,maternity
94,O10.911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester",maternity
95,O10.912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",maternity
96,O10.913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester",maternity
97,O10.919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester",maternity
98,O10.92,Unspecified pre-existing hypertension complicating childbirth,maternity
99,O10.93,Unspecified pre-existing hypertension complicating the puerperium,maternity
0,O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester",maternity
1,O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester",maternity
2,O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester",maternity
3,O11.4,"Pre-existing hypertension with pre-eclampsia, complicating childbirth",maternity
4,O11.5,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium",maternity
5,O11.9,"Pre-existing hypertension with pre-eclampsia, unspecified trimester",maternity
6,O12.00,"Gestational edema, unspecified trimester",maternity
7,O12.01,"Gestational edema, first trimester",maternity
8,O12.02,"Gestational edema, second trimester",maternity
9,O12.03,"Gestational edema, third trimester",maternity
10,O12.04,"Gestational edema, complicating childbirth",maternity
11,O12.05,"Gestational edema, complicating the puerperium",maternity
12,O12.10,"Gestational proteinuria, unspecified trimester",maternity
13,O12.11,"Gestational proteinuria, first trimester",maternity
14,O12.12,"Gestational proteinuria, second trimester",maternity
15,O12.13,"Gestational proteinuria, third trimester",maternity
16,O12.14,"Gestational proteinuria, complicating childbirth",maternity
17,O12.15,"Gestational proteinuria, complicating the puerperium",maternity
18,O12.20,"Gestational edema with proteinuria, unspecified trimester",maternity
19,O12.21,"Gestational edema with proteinuria, first trimester",maternity
20,O12.22,"Gestational edema with proteinuria, second trimester",maternity
21,O12.23,"Gestational edema with proteinuria, third trimester",maternity
22,O12.24,"Gestational edema with proteinuria, complicating childbirth",maternity
23,O12.25,"Gestational edema with proteinuria, complicating the puerperium",maternity
24,O13.1,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester",maternity
25,O13.2,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",maternity
26,O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester",maternity
27,O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth",maternity
28,O13.5,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium",maternity
29,O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",maternity
30,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester",maternity
31,O14.02,"Mild to moderate pre-eclampsia, second trimester",maternity
32,O14.03,"Mild to moderate pre-eclampsia, third trimester",maternity
33,O14.04,"Mild to moderate pre-eclampsia, complicating childbirth",maternity
34,O14.05,"Mild to moderate pre-eclampsia, complicating the puerperium",maternity
35,O14.10,"Severe pre-eclampsia, unspecified trimester",maternity
36,O14.12,"Severe pre-eclampsia, second trimester",maternity
37,O14.13,"Severe pre-eclampsia, third trimester",maternity
38,O14.14,Severe pre-eclampsia complicating childbirth,maternity
39,O14.15,"Severe pre-eclampsia, complicating the puerperium",maternity
40,O14.20,"HELLP syndrome (HELLP), unspecified trimester",maternity
41,O14.22,"HELLP syndrome (HELLP), second trimester",maternity
42,O14.23,"HELLP syndrome (HELLP), third trimester",maternity
43,O14.24,"HELLP syndrome, complicating childbirth",maternity
44,O14.25,"HELLP syndrome, complicating the puerperium",maternity
45,O14.90,"Unspecified pre-eclampsia, unspecified trimester",maternity
46,O14.92,"Unspecified pre-eclampsia, second trimester",maternity
47,O14.93,"Unspecified pre-eclampsia, third trimester",maternity
48,O14.94,"Unspecified pre-eclampsia, complicating childbirth",maternity
49,O14.95,"Unspecified pre-eclampsia, complicating the puerperium",maternity
50,O15.00,"Eclampsia complicating pregnancy, unspecified trimester",maternity
51,O15.02,"Eclampsia complicating pregnancy, second trimester",maternity
52,O15.03,"Eclampsia complicating pregnancy, third trimester",maternity
53,O15.1,Eclampsia complicating labor,maternity
54,O15.2,Eclampsia complicating the puerperium,maternity
55,O15.9,"Eclampsia, unspecified as to time period",maternity
56,O16.1,"Unspecified maternal hypertension, first trimester",maternity
57,O16.2,"Unspecified maternal hypertension, second trimester",maternity
58,O16.3,"Unspecified maternal hypertension, third trimester",maternity
59,O16.4,"Unspecified maternal hypertension, complicating childbirth",maternity
60,O16.5,"Unspecified maternal hypertension, complicating the puerperium",maternity
61,O16.9,"Unspecified maternal hypertension, unspecified trimester",maternity
62,O20.0,Threatened abortion,maternity
63,O20.8,Other hemorrhage in early pregnancy,maternity
64,O20.9,"Hemorrhage in early pregnancy, unspecified",maternity
65,O21.0,Mild hyperemesis gravidarum,maternity
66,O21.1,Hyperemesis gravidarum with metabolic disturbance,maternity
67,O21.2,Late vomiting of pregnancy,maternity
68,O21.8,Other vomiting complicating pregnancy,maternity
69,O21.9,"Vomiting of pregnancy, unspecified",maternity
70,O22.00,"Varicose veins of lower extremity in pregnancy, unspecified trimester",maternity
71,O22.01,"Varicose veins of lower extremity in pregnancy, first trimester",maternity
