code,title,category,window,chapter
S28.1,Traumatic amputation of part of thorax,Crushing injury of thorax and traumatic amputation of part of thorax,Injuries to the thorax,XIX
S29,Other and unspecified injuries of thorax,Other and unspecified injuries of thorax,Injuries to the thorax,XIX
S29.0,Injury of muscle and tendon at thorax level,Other and unspecified injuries of thorax,Injuries to the thorax,XIX
S29.7,Multiple injuries of thorax,Other and unspecified injuries of thorax,Injuries to the thorax,XIX
S29.8,Other specified injuries of thorax,Other and unspecified injuries of thorax,Injuries to the thorax,XIX
S29.9,Unspecified injury of thorax,Other and unspecified injuries of thorax,Injuries to the thorax,XIX
S30,"Superficial injury of abdomen, lower back and pelvis","Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.0,Contusion of lower back and pelvis,"Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.1,Contusion of abdominal wall,"Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.2,Contusion of external genital organs,"Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.7,"Multiple superficial injuries of abdomen, lower back and pelvis","Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.8,"Other superficial injuries of abdomen, lower back and pelvis","Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S30.9,"Superficial injury of abdomen, lower back and pelvis, part unspecified","Superficial injury of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31,"Open wound of abdomen, lower back and pelvis","Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.0,Open wound of lower back and pelvis,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.1,Open wound of abdominal wall,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.2,Open wound of penis,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.3,Open wound of scrotum and testes,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.4,Open wound of vagina and vulva,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.5,Open wound of other and unspecified external genital organs,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.7,"Multiple open wounds of abdomen, lower back and pelvis","Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S31.8,Open wound of other and unspecified parts of abdomen,"Open wound of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32,Fracture of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.0,Fracture of lumbar vertebra,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.1,Fracture of sacrum,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.2,Fracture of coccyx,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.3,Fracture of ilium,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.4,Fracture of acetabulum,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.5,Fracture of pubis,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.7,Multiple fractures of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S32.8,Fracture of other and unspecified parts of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.0,Traumatic rupture of lumbar intervertebral disc,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.1,Dislocation of lumbar vertebra,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.2,Dislocation of sacroiliac and sacrococcygeal joint,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.3,Dislocation of other and unspecified parts of lumbar spine and pelvis,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.4,Traumatic rupture of symphysis pubis,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.5,Sprain and strain of lumbar spine,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.6,Sprain and strain of sacroiliac joint,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S33.7,Sprain and strain of other and unspecified parts of lumbar spine and pelvis,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.0,Concussion and oedema of lumbar spinal cord,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.1,Other injury of lumbar spinal cord,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.2,Injury of nerve root of lumbar and sacral spine,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.3,Injury of cauda equina,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.4,Injury of lumbosacral plexus,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.5,"Injury of lumbar, sacral and pelvic sympathetic nerves","Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.6,"Injury of peripheral nerve(s) of abdomen, lower back and pelvis","Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S34.8,"Injury of other and unspecified nerves at abdomen, lower back and pelvis level","Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35,"Injury of blood vessels at abdomen, lower back and pelvis level","Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.0,Injury of abdominal aorta,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.1,Injury of inferior vena cava,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.2,Injury of coeliac or mesenteric artery,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.3,Injury of portal or splenic vein,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.4,Injury of renal blood vessels,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.5,Injury of iliac blood vessels,"Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.7,"Injury of multiple blood vessels at abdomen, lower back and pelvis level","Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.8,"Injury of other blood vessels at abdomen, lower back and pelvis level","Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S35.9,"Injury of unspecified blood vessel at abdomen, lower back and pelvis level","Injury of blood vessels at abdomen, lower back and pelvis level","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36,Injury of intra-abdominal organs,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.0,Injury of spleen,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.1,Injury of liver or gallbladder,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.2,Injury of pancreas,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.3,Injury of stomach,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.4,Injury of small intestine,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.5,Injury of colon,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.6,Injury of rectum,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.7,Injury of multiple intra-abdominal organs,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.8,Injury of other intra-abdominal organs,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S36.9,Injury of unspecified intra-abdominal organ,Injury of intra-abdominal organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37,Injury of urinary and pelvic organs,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.0,Injury of kidney,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.1,Injury of ureter,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.2,Injury of bladder,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.3,Injury of urethra,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.4,Injury of ovary,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.5,Injury of fallopian tube,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.6,Injury of uterus,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.7,Injury of multiple pelvic organs,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.8,Injury of other pelvic organs,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S37.9,Injury of unspecified pelvic organ,Injury of urinary and pelvic organs,"Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S38,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S38.0,Crushing injury of external genital organs,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S38.1,"Crushing injury of other and unspecified parts of abdomen, lower back and pelvis","Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S38.2,Traumatic amputation of external genital organs,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S38.3,"Traumatic amputation of other and unspecified parts of abdomen, lower back and pelvis","Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39,"Other and unspecified injuries of abdomen, lower back and pelvis","Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39.0,"Injury of muscle and tendon of abdomen, lower back and pelvis","Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39.6,Injury of intra-abdominal organ(s) with pelvic organ(s),"Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39.7,"Other multiple injuries of abdomen, lower back and pelvis","Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39.8,"Other specified injuries of abdomen, lower back and pelvis","Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S39.9,"Unspecified injury of abdomen, lower back and pelvis","Other and unspecified injuries of abdomen, lower back and pelvis","Injuries to the abdomen, lower back, lumbar spine and pelvis",XIX
S40,Superficial injury of shoulder and upper arm,Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S40.0,Contusion of shoulder and upper arm,Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S40.7,Multiple superficial injuries of shoulder and upper arm,Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S40.8,Other superficial injuries of shoulder and upper arm,Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S40.9,"Superficial injury of shoulder and upper arm, unspecified",Superficial injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S41,Open wound of shoulder and upper arm,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S41.0,Open wound of shoulder,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S41.1,Open wound of upper arm,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S41.7,Multiple open wounds of shoulder and upper arm,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S41.8,Open wound of other and unspecified parts of shoulder girdle,Open wound of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42,Fracture of shoulder and upper arm,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.0,Fracture of clavicle,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.1,Fracture of scapula,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.2,Fracture of upper end of humerus,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.3,Fracture of shaft of humerus,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.4,Fracture of lower end of humerus,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.7,"Multiple fractures of clavicle, scapula and humerus",Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.8,Fracture of other parts of shoulder and upper arm,Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S42.9,"Fracture of shoulder girdle, part unspecified",Fracture of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S43,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle","Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.0,Dislocation of shoulder joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.1,Dislocation of acromioclavicular joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.2,Dislocation of sternoclavicular joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.3,Dislocation of other and unspecified parts of shoulder girdle,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.4,Sprain and strain of shoulder joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.5,Sprain and strain of acromioclavicular joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.6,Sprain and strain of sternoclavicular joint,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S43.7,Sprain and strain of other and unspecified parts of shoulder girdle,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle",Injuries to the shoulder and upper arm,XIX
S44,Injury of nerves at shoulder and upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.0,Injury of ulnar nerve at upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.1,Injury of median nerve at upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.2,Injury of radial nerve at upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.3,Injury of axillary nerve,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.4,Injury of musculocutaneous nerve,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.5,Injury of cutaneous sensory nerve at shoulder and upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.7,Injury of multiple nerves at shoulder and upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.8,Injury of other nerves at shoulder and upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S44.9,Injury of unspecified nerve at shoulder and upper arm level,Injury of nerves at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45,Injury of blood vessels at shoulder and upper arm level,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.0,Injury of axillary artery,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.1,Injury of brachial artery,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.2,Injury of axillary or brachial vein,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.3,Injury of superficial vein at shoulder and upper arm level,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.7,Injury of multiple blood vessels at shoulder and upper arm level,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.8,Injury of other blood vessels at shoulder and upper arm level,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S45.9,Injury of unspecified blood vessel at shoulder and upper arm level,Injury of blood vessels at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46,Injury of muscle and tendon at shoulder and upper arm level,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.0,Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.1,Injury of muscle and tendon of long head of biceps,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.2,Injury of muscle and tendon of other parts of biceps,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.3,Injury of muscle and tendon of triceps,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.7,Injury of multiple muscles and tendons at shoulder and upper arm level,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.8,Injury of other muscles and tendons at shoulder and upper arm level,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S46.9,Injury of unspecified muscle and tendon at shoulder and upper arm level,Injury of muscle and tendon at shoulder and upper arm level,Injuries to the shoulder and upper arm,XIX
S47,Crushing injury of shoulder and upper arm,Crushing injury of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S48,Traumatic amputation of shoulder and upper arm,Traumatic amputation of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S48.0,Traumatic amputation at shoulder joint,Traumatic amputation of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S48.1,Traumatic amputation at level between shoulder and elbow,Traumatic amputation of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S48.9,"Traumatic amputation of shoulder and upper arm, level unspecified",Traumatic amputation of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S49,Other and unspecified injuries of shoulder and upper arm,Other and unspecified injuries of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S49.7,Multiple injuries of shoulder and upper arm,Other and unspecified injuries of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S49.8,Other specified injuries of shoulder and upper arm,Other and unspecified injuries of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S49.9,Unspecified injury of shoulder and upper arm,Other and unspecified injuries of shoulder and upper arm,Injuries to the shoulder and upper arm,XIX
S50,Superficial injury of forearm,Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S50.0,Contusion of elbow,Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S50.1,Contusion of other and unspecified parts of forearm,Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S50.7,Multiple superficial injuries of forearm,Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S50.8,Other superficial injuries of forearm,Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S50.9,"Superficial injury of forearm, unspecified",Superficial injury of forearm,Injuries to the elbow and forearm,XIX
S51,Open wound of forearm,Open wound of forearm,Injuries to the elbow and forearm,XIX
S51.0,Open wound of elbow,Open wound of forearm,Injuries to the elbow and forearm,XIX
S51.7,Multiple open wounds of forearm,Open wound of forearm,Injuries to the elbow and forearm,XIX
S51.8,Open wound of other parts of forearm,Open wound of forearm,Injuries to the elbow and forearm,XIX
S51.9,"Open wound of forearm, part unspecified",Open wound of forearm,Injuries to the elbow and forearm,XIX
S52,Fracture of forearm,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.0,Fracture of upper end of ulna,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.1,Fracture of upper end of radius,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.2,Fracture of shaft of ulna,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.3,Fracture of shaft of radius,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.4,Fracture of shafts of both ulna and radius,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.5,Fracture of lower end of radius,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.6,Fracture of lower end of both ulna and radius,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.7,Multiple fractures of forearm,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.8,Fracture of other parts of forearm,Fracture of forearm,Injuries to the elbow and forearm,XIX
S52.9,"Fracture of forearm, part unspecified",Fracture of forearm,Injuries to the elbow and forearm,XIX
S53,"Dislocation, sprain and strain of joints and ligaments of elbow","Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S53.0,Dislocation of radial head,"Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S53.1,"Dislocation of elbow, unspecified","Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S53.2,Traumatic rupture of radial collateral ligament,"Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S53.3,Traumatic rupture of ulnar collateral ligament,"Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S53.4,Sprain and strain of elbow,"Dislocation, sprain and strain of joints and ligaments of elbow",Injuries to the elbow and forearm,XIX
S54,Injury of nerves at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.0,Injury of ulnar nerve at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.1,Injury of median nerve at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.2,Injury of radial nerve at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.3,Injury of cutaneous sensory nerve at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.7,Injury of multiple nerves at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.8,Injury of other nerves at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S54.9,Injury of unspecified nerve at forearm level,Injury of nerves at forearm level,Injuries to the elbow and forearm,XIX
S55,Injury of blood vessels at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.0,Injury of ulnar artery at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.1,Injury of radial artery at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.2,Injury of vein at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.7,Injury of multiple blood vessels at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.8,Injury of other blood vessels at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S55.9,Injury of unspecified blood vessel at forearm level,Injury of blood vessels at forearm level,Injuries to the elbow and forearm,XIX
S56,Injury of muscle and tendon at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.0,Injury of flexor muscle and tendon of thumb at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.1,Injury of long flexor muscle and tendon of other finger(s) at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.2,Injury of other flexor muscle and tendon at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.3,Injury of extensor or abductor muscles and tendons of thumb at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.4,Injury of extensor muscle and tendon of other finger(s) at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.5,Injury of other extensor muscle and tendon at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.7,Injury of multiple muscles and tendons at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S56.8,Injury of other and unspecified muscles and tendons at forearm level,Injury of muscle and tendon at forearm level,Injuries to the elbow and forearm,XIX
S57,Crushing injury of forearm,Crushing injury of forearm,Injuries to the elbow and forearm,XIX
S57.0,Crushing injury of elbow,Crushing injury of forearm,Injuries to the elbow and forearm,XIX
S57.8,Crushing injury of other parts of forearm,Crushing injury of forearm,Injuries to the elbow and forearm,XIX
S57.9,"Crushing injury of forearm, part unspecified",Crushing injury of forearm,Injuries to the elbow and forearm,XIX
S58,Traumatic amputation of forearm,Traumatic amputation of forearm,Injuries to the elbow and forearm,XIX
S58.0,Traumatic amputation at elbow level,Traumatic amputation of forearm,Injuries to the elbow and forearm,XIX
S58.1,Traumatic amputation at level between elbow and wrist,Traumatic amputation of forearm,Injuries to the elbow and forearm,XIX
